sphere_id,house,house_name,sphere_name,lead_seat,lead_score,federation_max,coverage_depth,seduction_risk,S1_Anthropic,S2_Alphabet,S3_Muskverse,S4_Microsoft,S5_DeepSeek,S6_OpenAI,S7_Manus,S8_Notion,Amazon,S10_Qwen3
S023,H02,Formal Sciences,Algorithmics,S2_Alphabet,0.9,0.9,DEEP,False,0.8,0.9,0.5,0.8,0.7,0.7,0.3,0.1,0.6,0.6
S024,H02,Formal Sciences,Data Science,S2_Alphabet,0.9,0.9,DEEP,False,0.7,0.9,0.4,0.8,0.7,0.7,0.3,0.2,0.7,0.6
S025,H03,Social Sciences,Sociology,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.3,0.3,0.1,0.4,0.1,0.3,0.0,0.0,0.2,0.1
S026,H03,Social Sciences,Psychology,S1_Anthropic,0.4,0.4,PERIPHERAL,False,0.4,0.4,0.2,0.4,0.1,0.3,0.0,0.0,0.3,0.1
S027,H03,Social Sciences,Anthropology,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.2,0.3,0.1,0.3,0.1,0.2,0.0,0.0,0.2,0.1
S028,H03,Social Sciences,Economics,S1_Anthropic,0.5,0.5,SUBSTANTIAL,False,0.5,0.5,0.3,0.5,0.3,0.4,0.0,0.0,0.5,0.3
S029,H03,Social Sciences,Political Science,S1_Anthropic,0.4,0.4,PERIPHERAL,False,0.4,0.3,0.2,0.3,0.1,0.3,0.0,0.0,0.2,0.1
S030,H03,Social Sciences,Geography,S2_Alphabet,0.8,0.8,DEEP,False,0.0,0.8,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.1
S031,H03,Social Sciences,Linguistics,S1_Anthropic,0.7,0.7,SUBSTANTIAL,False,0.7,0.7,0.1,0.6,0.4,0.6,0.0,0.0,0.4,0.4
S032,H03,Social Sciences,Archaeology,S2_Alphabet,0.2,0.2,PERIPHERAL,False,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0
S033,H03,Social Sciences,Demography,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.1,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.1
S034,H03,Social Sciences,Criminology,S1_Anthropic,0.2,0.2,PERIPHERAL,False,0.2,0.2,0.1,0.2,0.0,0.2,0.0,0.0,0.2,0.0
S035,H03,Social Sciences,Social Work,S4_Microsoft,0.2,0.2,PERIPHERAL,False,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0
S036,H03,Social Sciences,Urban Studies,S2_Alphabet,0.4,0.4,PERIPHERAL,False,0.0,0.4,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.1
S037,H04,Humanities,History,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.2,0.3,0.1,0.3,0.1,0.3,0.0,0.0,0.2,0.1
S038,H04,Humanities,Philosophy,S1_Anthropic,0.8,0.8,DEEP,False,0.8,0.3,0.2,0.3,0.3,0.5,0.0,0.0,0.2,0.2
S039,H04,Humanities,Literature,S6_OpenAI,0.4,0.4,PERIPHERAL,False,0.2,0.3,0.1,0.3,0.2,0.4,0.0,0.0,0.4,0.2
S040,H04,Humanities,Classics,S2_Alphabet,0.2,0.2,PERIPHERAL,False,0.1,0.2,0.1,0.2,0.1,0.2,0.0,0.0,0.1,0.1
S041,H04,Humanities,Religious Studies,S4_Microsoft,0.2,0.2,PERIPHERAL,False,0.1,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0
S042,H04,Humanities,Ethics,S1_Anthropic,0.9,0.9,DEEP,False,0.9,0.3,0.2,0.4,0.2,0.5,0.0,0.0,0.2,0.1
S043,H04,Humanities,Aesthetics,S2_Alphabet,0.2,0.2,PERIPHERAL,False,0.1,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.1,0.0
S044,H04,Humanities,Cultural Studies,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.2,0.3,0.1,0.3,0.1,0.3,0.0,0.0,0.2,0.2
S045,H04,Humanities,Mythology,S2_Alphabet,0.1,0.1,ABSENT,False,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0
S046,H04,Humanities,Philology,S2_Alphabet,0.2,0.2,PERIPHERAL,False,0.1,0.2,0.0,0.2,0.1,0.2,0.0,0.0,0.1,0.1
S047,H04,Humanities,Rhetoric,S1_Anthropic,0.3,0.3,PERIPHERAL,False,0.3,0.2,0.2,0.2,0.1,0.3,0.0,0.0,0.1,0.1
S048,H04,Humanities,Hermeneutics,S1_Anthropic,0.4,0.4,PERIPHERAL,False,0.4,0.2,0.1,0.2,0.1,0.3,0.0,0.0,0.1,0.1
S049,H05,Arts,Visual Arts,S6_OpenAI,0.5,0.5,SUBSTANTIAL,False,0.1,0.3,0.1,0.3,0.0,0.5,0.0,0.0,0.2,0.1
S050,H05,Arts,Performing Arts,S4_Microsoft,0.3,0.3,PERIPHERAL,False,0.0,0.2,0.0,0.3,0.0,0.2,0.0,0.0,0.1,0.0
S051,H05,Arts,Music,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.1,0.5,0.1,0.4,0.0,0.3,0.0,0.0,0.4,0.1
S052,H05,Arts,Dance,S4_Microsoft,0.2,0.2,PERIPHERAL,False,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
S053,H05,Arts,Theater,S4_Microsoft,0.3,0.3,PERIPHERAL,False,0.0,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.1,0.0
S054,H05,Arts,Film,S2_Alphabet,0.7,0.7,SUBSTANTIAL,False,0.0,0.7,0.1,0.5,0.0,0.3,0.0,0.0,0.5,0.1
S055,H05,Arts,Creative Writing,S6_OpenAI,0.5,0.5,SUBSTANTIAL,False,0.2,0.3,0.1,0.4,0.1,0.5,0.0,0.1,0.3,0.2
S056,H05,Arts,Architecture,S3_Muskverse,0.3,0.3,PERIPHERAL,False,0.0,0.2,0.3,0.2,0.0,0.1,0.0,0.0,0.1,0.0
S057,H05,Arts,Design,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.3,0.5,0.3,0.5,0.1,0.4,0.1,0.3,0.3,0.2
S058,H05,Arts,Photography,S2_Alphabet,0.4,0.4,PERIPHERAL,False,0.0,0.4,0.0,0.3,0.0,0.3,0.0,0.0,0.2,0.0
S059,H05,Arts,Sculpture,S4_Microsoft,0.2,0.2,PERIPHERAL,False,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
S060,H05,Arts,Painting,S4_Microsoft,0.2,0.2,PERIPHERAL,False,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
S061,H06,Engineering & Technology,Mechanical Engineering,S3_Muskverse,0.8,0.8,DEEP,False,0.0,0.3,0.8,0.3,0.0,0.1,0.0,0.0,0.3,0.1
S062,H06,Engineering & Technology,Electrical Engineering,S3_Muskverse,0.8,0.8,DEEP,False,0.2,0.5,0.8,0.4,0.1,0.2,0.0,0.0,0.3,0.2
S063,H06,Engineering & Technology,Civil Engineering,S3_Muskverse,0.4,0.4,PERIPHERAL,False,0.0,0.2,0.4,0.2,0.0,0.1,0.0,0.0,0.2,0.1
S064,H06,Engineering & Technology,Chemical Engineering,S3_Muskverse,0.4,0.4,PERIPHERAL,False,0.0,0.2,0.4,0.2,0.0,0.1,0.0,0.0,0.2,0.1
S065,H06,Engineering & Technology,Aerospace Engineering,S3_Muskverse,1.0,1.0,DEEP,True,0.0,0.3,1.0,0.2,0.0,0.1,0.0,0.0,0.2,0.0
S066,H06,Engineering & Technology,Biomedical Engineering,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.1,0.3,0.3,0.4,0.0,0.1,0.0,0.0,0.2,0.0
S067,H06,Engineering & Technology,Environmental Engineering,S3_Muskverse,0.5,0.5,SUBSTANTIAL,False,0.1,0.4,0.5,0.3,0.0,0.1,0.0,0.0,0.3,0.1
S068,H06,Engineering & Technology,Industrial Engineering,S3_Muskverse,0.8,0.8,DEEP,False,0.2,0.4,0.8,0.4,0.1,0.2,0.0,0.0,0.5,0.2
S069,H06,Engineering & Technology,Software Engineering,S1_Anthropic,0.9,0.9,DEEP,False,0.9,0.9,0.5,0.9,0.7,0.8,0.6,0.5,0.7,0.6
S070,H06,Engineering & Technology,Materials Engineering,S3_Muskverse,0.8,0.8,DEEP,False,0.0,0.3,0.8,0.2,0.0,0.1,0.0,0.0,0.2,0.1
S071,H06,Engineering & Technology,Nuclear Engineering,S3_Muskverse,0.3,0.3,PERIPHERAL,False,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0
S072,H06,Engineering & Technology,Robotics,S3_Muskverse,0.9,0.9,DEEP,False,0.3,0.6,0.9,0.4,0.1,0.3,0.0,0.0,0.6,0.2
S073,H07,Information & Communication,Media Studies,S2_Alphabet,0.6,0.6,SUBSTANTIAL,False,0.2,0.6,0.2,0.5,0.1,0.3,0.0,0.1,0.3,0.2
S074,H07,Information & Communication,Journalism,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.1,0.5,0.1,0.4,0.0,0.2,0.0,0.0,0.2,0.1
S075,H07,Information & Communication,Telecommunications,S2_Alphabet,0.7,0.7,SUBSTANTIAL,False,0.1,0.7,0.6,0.5,0.1,0.2,0.0,0.0,0.4,0.3
S076,H07,Information & Communication,Information Systems,S2_Alphabet,0.8,0.8,DEEP,False,0.3,0.8,0.3,0.8,0.2,0.4,0.3,0.5,0.6,0.4
S077,H07,Information & Communication,Library Science,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.1,0.3,0.0,0.3,0.0,0.1,0.0,0.2,0.2,0.0
S078,H07,Information & Communication,Publishing,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.2,0.3,0.1,0.4,0.0,0.2,0.0,0.3,0.4,0.1
S079,H07,Information & Communication,Advertising,S2_Alphabet,0.8,0.8,DEEP,False,0.1,0.8,0.2,0.6,0.0,0.3,0.0,0.0,0.5,0.2
S080,H07,Information & Communication,Public Relations,S2_Alphabet,0.4,0.4,PERIPHERAL,False,0.1,0.4,0.1,0.4,0.0,0.2,0.0,0.1,0.3,0.1
S081,H07,Information & Communication,Digital Media,S2_Alphabet,0.8,0.8,DEEP,False,0.3,0.8,0.3,0.6,0.1,0.4,0.2,0.3,0.5,0.3
S082,H07,Information & Communication,Broadcasting,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.1,0.5,0.2,0.4,0.0,0.2,0.0,0.0,0.3,0.1
S083,H07,Information & Communication,Film Studies,S2_Alphabet,0.4,0.4,PERIPHERAL,False,0.1,0.4,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.1
S084,H07,Information & Communication,Communication Theory,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.2,0.5,0.1,0.5,0.1,0.3,0.1,0.2,0.3,0.2
S085,H08,Education,Pedagogy,S4_Microsoft,0.5,0.5,SUBSTANTIAL,False,0.3,0.4,0.1,0.5,0.1,0.3,0.0,0.1,0.2,0.1
S086,H08,Education,Curriculum Design,S4_Microsoft,0.5,0.5,SUBSTANTIAL,False,0.1,0.4,0.1,0.5,0.0,0.2,0.0,0.1,0.1,0.1
S087,H08,Education,Educational Psychology,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.2,0.3,0.1,0.4,0.1,0.2,0.0,0.0,0.1,0.1
S088,H08,Education,Special Education,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.1,0.3,0.0,0.4,0.0,0.1,0.0,0.0,0.1,0.0
S089,H08,Education,Adult Education,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.1,0.3,0.0,0.4,0.0,0.2,0.0,0.0,0.1,0.0
S090,H08,Education,E-Learning,S2_Alphabet,0.6,0.6,SUBSTANTIAL,False,0.3,0.6,0.1,0.6,0.1,0.4,0.0,0.2,0.2,0.2
S091,H08,Education,Educational Technology,S2_Alphabet,0.7,0.7,SUBSTANTIAL,False,0.4,0.7,0.1,0.7,0.1,0.4,0.0,0.2,0.2,0.2
S092,H08,Education,Assessment,S4_Microsoft,0.5,0.5,SUBSTANTIAL,False,0.3,0.4,0.1,0.5,0.1,0.3,0.0,0.1,0.2,0.1
S093,H08,Education,School Administration,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.0,0.3,0.0,0.4,0.0,0.1,0.0,0.1,0.1,0.0
S094,H08,Education,Teacher Training,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.1,0.3,0.0,0.4,0.0,0.2,0.0,0.0,0.1,0.0
S095,H08,Education,Literacy,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.2,0.3,0.1,0.4,0.1,0.2,0.0,0.1,0.1,0.1
S096,H08,Education,Higher Education,S4_Microsoft,0.6,0.6,SUBSTANTIAL,False,0.3,0.5,0.1,0.6,0.1,0.3,0.0,0.1,0.1,0.1
S097,H09,Health & Medicine,Anatomy,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.0,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0
S098,H09,Health & Medicine,Physiology,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.0,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0
S099,H09,Health & Medicine,Pathology,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.1,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0
S100,H09,Health & Medicine,Pharmacology,S2_Alphabet,0.4,0.4,PERIPHERAL,False,0.2,0.4,0.1,0.3,0.1,0.2,0.0,0.0,0.3,0.1
S101,H09,Health & Medicine,Surgery,S2_Alphabet,0.2,0.2,PERIPHERAL,False,0.0,0.2,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.0
S102,H09,Health & Medicine,Pediatrics,S2_Alphabet,0.2,0.2,PERIPHERAL,False,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0
S103,H09,Health & Medicine,Psychiatry,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.2,0.3,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.0
S104,H09,Health & Medicine,Neurology,S3_Muskverse,0.5,0.5,SUBSTANTIAL,False,0.2,0.4,0.5,0.3,0.0,0.2,0.0,0.0,0.2,0.0
S105,H09,Health & Medicine,Oncology,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.1,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0
S106,H09,Health & Medicine,Epidemiology,S2_Alphabet,0.4,0.4,PERIPHERAL,False,0.1,0.4,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0
S107,H09,Health & Medicine,Nutrition,S2_Alphabet,0.2,0.2,PERIPHERAL,False,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.2,0.0
S108,H09,Health & Medicine,Public Health,S2_Alphabet,0.4,0.4,PERIPHERAL,False,0.2,0.4,0.1,0.4,0.0,0.2,0.0,0.0,0.3,0.0
S109,H10,Business & Economics,Management,Amazon,0.7,0.7,SUBSTANTIAL,False,0.5,0.5,0.5,0.6,0.2,0.4,0.1,0.3,0.7,0.4
S110,H10,Business & Economics,Marketing,S2_Alphabet,0.8,0.8,DEEP,False,0.4,0.8,0.3,0.5,0.1,0.3,0.0,0.1,0.8,0.4
S111,H10,Business & Economics,Finance,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.3,0.5,0.4,0.5,0.2,0.3,0.0,0.1,0.5,0.4
S112,H10,Business & Economics,Accounting,S4_Microsoft,0.5,0.5,SUBSTANTIAL,False,0.3,0.4,0.3,0.5,0.1,0.3,0.0,0.1,0.5,0.3
S113,H10,Business & Economics,Entrepreneurship,S3_Muskverse,0.8,0.8,DEEP,False,0.4,0.5,0.8,0.5,0.2,0.4,0.1,0.2,0.6,0.4
S114,H10,Business & Economics,Human Resources,S4_Microsoft,0.6,0.6,SUBSTANTIAL,False,0.3,0.5,0.3,0.6,0.1,0.3,0.0,0.1,0.5,0.3
S115,H10,Business & Economics,Operations Management,Amazon,0.8,0.8,DEEP,False,0.4,0.5,0.6,0.6,0.2,0.4,0.1,0.2,0.8,0.4
S116,H10,Business & Economics,Supply Chain,Amazon,0.8,0.8,DEEP,False,0.1,0.3,0.4,0.4,0.1,0.2,0.0,0.0,0.8,0.5
S117,H10,Business & Economics,International Business,Amazon,0.7,0.7,SUBSTANTIAL,False,0.3,0.6,0.4,0.6,0.1,0.3,0.0,0.1,0.7,0.5
S118,H10,Business & Economics,Business Ethics,S1_Anthropic,0.6,0.6,SUBSTANTIAL,False,0.6,0.4,0.3,0.5,0.1,0.4,0.0,0.1,0.5,0.3
S119,H10,Business & Economics,Microeconomics,Amazon,0.5,0.5,SUBSTANTIAL,False,0.3,0.4,0.3,0.4,0.2,0.3,0.0,0.0,0.5,0.3
S120,H10,Business & Economics,Macroeconomics,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.4,0.5,0.3,0.5,0.2,0.3,0.0,0.0,0.5,0.3
S121,H11,Infrastructure,Transportation,S3_Muskverse,0.7,0.7,SUBSTANTIAL,False,0.1,0.4,0.7,0.4,0.0,0.1,0.0,0.0,0.5,0.2
S122,H11,Infrastructure,Energy Systems,S3_Muskverse,0.9,0.9,DEEP,False,0.1,0.5,0.9,0.4,0.1,0.2,0.0,0.0,0.3,0.2
S123,H11,Infrastructure,Water Systems,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.0,0.3,0.2,0.3,0.0,0.1,0.0,0.0,0.2,0.1
S124,H11,Infrastructure,Waste Management,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.0,0.3,0.2,0.3,0.0,0.1,0.0,0.0,0.3,0.1
S125,H11,Infrastructure,Computing Infrastructure,S2_Alphabet,0.9,0.9,DEEP,False,0.3,0.9,0.5,0.8,0.3,0.4,0.2,0.1,0.8,0.5
S126,H11,Infrastructure,Telecommunications Infrastructure,S2_Alphabet,0.8,0.8,DEEP,False,0.1,0.8,0.6,0.6,0.1,0.2,0.0,0.0,0.4,0.3
S127,H11,Infrastructure,Urban Planning,S2_Alphabet,0.5,0.5,SUBSTANTIAL,False,0.1,0.5,0.3,0.5,0.0,0.1,0.0,0.0,0.3,0.1
S128,H11,Infrastructure,Construction,S3_Muskverse,0.5,0.5,SUBSTANTIAL,False,0.0,0.3,0.5,0.4,0.0,0.1,0.0,0.0,0.4,0.2
S129,H11,Infrastructure,Logistics,Amazon,0.8,0.8,DEEP,False,0.1,0.4,0.6,0.4,0.0,0.1,0.0,0.0,0.8,0.4
S130,H11,Infrastructure,Mining,S3_Muskverse,0.3,0.3,PERIPHERAL,False,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.2,0.1
S131,H11,Infrastructure,Agriculture Infrastructure,S3_Muskverse,0.4,0.4,PERIPHERAL,False,0.0,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.3,0.1
S132,H11,Infrastructure,Space Infrastructure,S3_Muskverse,0.8,0.8,DEEP,False,0.0,0.4,0.8,0.3,0.0,0.1,0.0,0.0,0.2,0.1
S133,H12,Law/Governance/Meta-Knowledge,Constitutional Law,S1_Anthropic,0.5,0.5,SUBSTANTIAL,False,0.5,0.3,0.1,0.4,0.1,0.2,0.0,0.0,0.2,0.1
S134,H12,Law/Governance/Meta-Knowledge,Criminal Law,S4_Microsoft,0.3,0.3,PERIPHERAL,False,0.2,0.2,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0
S135,H12,Law/Governance/Meta-Knowledge,Civil Law,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.2,0.3,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.1
S136,H12,Law/Governance/Meta-Knowledge,International Law,S4_Microsoft,0.4,0.4,PERIPHERAL,False,0.3,0.3,0.2,0.4,0.1,0.2,0.0,0.0,0.2,0.1
S137,H12,Law/Governance/Meta-Knowledge,Corporate Law,S4_Microsoft,0.5,0.5,SUBSTANTIAL,False,0.4,0.4,0.3,0.5,0.1,0.3,0.0,0.1,0.4,0.2
S138,H12,Law/Governance/Meta-Knowledge,Environmental Law,S2_Alphabet,0.3,0.3,PERIPHERAL,False,0.1,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.2,0.0
S139,H12,Law/Governance/Meta-Knowledge,Human Rights,S1_Anthropic,0.4,0.4,PERIPHERAL,False,0.4,0.3,0.1,0.4,0.0,0.3,0.0,0.0,0.2,0.0
S140,H12,Law/Governance/Meta-Knowledge,Political Theory,S1_Anthropic,0.4,0.4,PERIPHERAL,False,0.4,0.3,0.2,0.4,0.1,0.3,0.0,0.0,0.2,0.1
S141,H12,Law/Governance/Meta-Knowledge,Public Policy,S1_Anthropic,0.8,0.8,DEEP,False,0.8,0.5,0.2,0.5,0.1,0.5,0.0,0.0,0.3,0.1
S142,H12,Law/Governance/Meta-Knowledge,International Relations,S1_Anthropic,0.5,0.5,SUBSTANTIAL,False,0.5,0.4,0.2,0.4,0.1,0.3,0.0,0.0,0.3,0.1
S143,H12,Law/Governance/Meta-Knowledge,Diplomacy,S1_Anthropic,0.3,0.3,PERIPHERAL,False,0.3,0.3,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.1
S144,H12,Law/Governance/Meta-Knowledge,Public Administration,S1_Anthropic,0.4,0.4,PERIPHERAL,False,0.4,0.3,0.1,0.4,0.1,0.3,0.0,0.0,0.2,0.1
